[01,01], {00010}, SMALL
[01,02], {00470}, LARGE
[01,03], {00010}, SMALL
[01,04], {00010}, SMALL
[01,05], {00010}, SMALL
[01,06], {00010}, SMALL
[01,07], {00000}, EMPTY
[01,08], {00000}, EMPTY
[01,09], {00000}, EMPTY
[01,10], {00000}, EMPTY
[01,11], {00010}, SMALL
[01,12], {00010}, SMALL
[02,01], {00010}, SMALL
[02,02], {00010}, SMALL
[02,03], {00010}, SMALL
[02,04], {00010}, SMALL
[02,05], {00010}, SMALL
[02,06], {00010}, SMALL
[02,07], {00000}, EMPTY
[02,08], {00000}, EMPTY
[02,09], {00000}, EMPTY
[02,10], {00000}, EMPTY
[02,11], {00010}, SMALL
[02,12], {00010}, SMALL
[03,01], {00010}, SMALL
[03,02], {00010}, SMALL
[03,03], {00010}, SMALL
[03,04], {00010}, SMALL
[03,05], {00010}, SMALL
[03,06], {00010}, SMALL
[03,07], {00000}, EMPTY
[03,08], {00000}, EMPTY
[03,09], {00000}, EMPTY
[03,10], {00000}, EMPTY
[03,11], {00010}, SMALL
[03,12], {00010}, SMALL
[04,01], {00010}, SMALL
[04,02], {00010}, SMALL
[04,03], {00010}, SMALL
[04,04], {00010}, SMALL
[04,05], {00010}, SMALL
[04,06], {00010}, SMALL
[04,07], {00000}, EMPTY
[04,08], {00000}, EMPTY
[04,09], {00000}, EMPTY
[04,10], {00000}, EMPTY
[04,11], {00010}, SMALL
[04,12], {00010}, SMALL
[05,01], {00010}, SMALL
[05,02], {00010}, SMALL
[05,03], {00010}, SMALL
[05,04], {00010}, SMALL
[05,05], {00010}, SMALL
[05,06], {00010}, SMALL
[05,07], {00000}, EMPTY
[05,08], {00000}, EMPTY
[05,09], {00000}, EMPTY
[05,10], {00000}, EMPTY
[05,11], {00010}, SMALL
[05,12], {00010}, SMALL
[06,01], {00010}, SMALL
[06,02], {00010}, SMALL
[06,03], {00010}, SMALL
[06,04], {00010}, SMALL
[06,05], {00010}, SMALL
[06,06], {00010}, SMALL
[06,07], {00000}, EMPTY
[06,08], {00000}, EMPTY
[06,09], {00000}, EMPTY
[06,10], {00000}, EMPTY
[06,11], {00010}, SMALL
[06,12], {00010}, SMALL
[07,01], {00010}, SMALL
[07,02], {00010}, SMALL
[07,03], {00010}, SMALL
[07,04], {00010}, SMALL
[07,05], {00010}, SMALL
[07,06], {00010}, SMALL
[07,07], {00000}, EMPTY
[07,08], {00000}, EMPTY
[07,09], {00000}, EMPTY
[07,10], {00000}, EMPTY
[07,11], {00010}, SMALL
[07,12], {00010}, SMALL
[08,01], {00010}, SMALL
[08,02], {00010}, SMALL
[08,03], {00010}, SMALL
[08,04], {00010}, SMALL
[08,05], {00010}, SMALL
[08,06], {00010}, SMALL
[08,07], {00000}, EMPTY
[08,08], {00000}, EMPTY
[08,09], {00000}, EMPTY
[08,10], {00000}, EMPTY
[08,11], {00010}, SMALL
[08,12], {00010}, SMALL
